conference,title,writer,year,citations,url,paper ID,snippet
CVPR,Verifying_and_combining_different_visual_cues_into_a_3-D_model.,"JY Zheng, F Kishino ",1992,28,https://www.researchgate.net/profile/Jiang_Zheng2/publication/3513095_Verifying_and_combining_different_visual_cues_into_a_3-D_model/links/5735eaaf08ae298602e09836/Verifying-and-combining-different-visual-cues-into-a-3-D-model.pdf,"<re.Match object; span=(575, 601), match='cites=4462623510472404903&'>","In this paper, we track changes in the appearance of the object as it moves from one frame to the next. At a symbolic level, an aspect graph clusters all the views of an object into a set of topologically distinct classes in terms of which surfaces of an object are visible from a …"
CVPR,Determination_of_motion_parameters_and_estimation_of_point_correspondences_in_small_nonrigid_deformations,"C Kambhamettu, DB Goldgof, M He ",1994,30,https://ieeexplore.ieee.org/abstract/document/323930/,"<re.Match object; span=(575, 601), match='cites=2402572237587804804&'>","This paper describes a method of learning structural models of 2-D shape from real data. These models can be used to classify nonrigid shapes, even if they are partially occluded, and to label their parts. The representation of a single shape is a multilevel graph whose …"
CVPR,Hybrid_weak-perspective_and_full-perspective_matching.,"JR Beveridge, EM Riseman ",1992,36,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.53.4996&rep=rep1&type=pdf,"<re.Match object; span=(575, 602), match='cites=16052371612907859546&'>","Robust recognition systems require a careful understanding of the effects of error in sensed features. Error in these image features results in uncertainty in the possible image location of each additional model feature. We present an accurate, analytic approximation for this …"
EUSIPCO,MPEG-2_video_services_over_packet_networks:_Joint_effect_of_encoding_rate_and_data_loss_on_user-oriented_QoS,"O Verscheure, P Frossard…",1998,76,https://infoscience.epfl.ch/record/86551/files/Verscheure1998_79.pdf,6031645101958263983,We address the problem of video quality prediction and control for high resolution video transmitted over lossy packet networks. We analyze how the user-perceived quality is related to the average encoding bitrate for VBR MPEG-2 video. We then show why simple …
EUSIPCO,A_Deep_Learning_MI-EEG_Classification_Model_for_BCIs.,"H Dose, JS Møller, S Puthusserypady, HK Iversen",2018,11,https://core.ac.uk/download/pdf/189888334.pdf,10575966495935338603,"Reliable signal classification is essential for using an electroencephalogram (EEG) based Brain-Computer Interface (BCI) in motor imagery (MI) training. While deep learning (DL) is used in many areas with great success, only a limited number of works investigate its …"
EUSIPCO,Privacy_protecting_biometric_authentication_systems:_an_overview,"P Tuyls, E Verbitskiy, J Goseling, D Denteneer",2004,20,https://www.eurasip.org/Proceedings/Eusipco/Eusipco2004/defevent/papers/cr1921.pdf,9483905682212813092,"Page 1. PRIVACY PROTECTING BIOMETRIC AUTHENTICATION SYSTEMS: AN OVERVIEW
P. Tuyls, E. Verbitskiy, J. Goseling, D. Denteneer Philips Research, Prof. Holstlaan 4, 5656
AA Eindhoven The Netherlands email: pim.tuyls@philips.com ABSTRACT In this paper we …"
EUSIPCO,ADPCM_with_non_linear_predictors,"E Mumolo, F Diego, A Carini",1994,28,https://arts.units.it/handle/11368/2795527,12237773795293757518,"It is well known that the production of speech involves non linear phenomena. Classical algorithms of speech analysis, nevertheless, are based on the assumption that speech is generated by a linear system. In this paper we will describe how, using signal prediction …"
EUSIPCO,Distributed_source_coding:_Theory_and_applications.,"V Stankovic, L Stankovic, S Cheng",2010,13,https://www.researchgate.net/profile/Vladimir_Stankovic4/publication/228820858_Distributed_Source_Coding_Theory_and_Applications/links/0f31753c576ccedcb6000000.pdf,16085215713688252690,"Distributed source coding (DSC) refers to separate compression and joint decompression of mutually correlated sources. Though theoretical foundations were set more than thirty years ago, driven by applications such as wireless sensor networks, video surveillance, and …"
EUSIPCO,Characterizing_changes_in_the_noise_statistics_of_GNSS_space_clocks_with_the_dynamic_Allan_variance.,L Galleani,2014,7,https://ieeexplore.ieee.org/abstract/document/6952104/,4263268394365299288,"The dynamic Allan variance (DAVAR) is a tool for the characterization of precise clocks. Monitoring anomalies of precise clocks is essential, especially when they are employed onboard the satellites of a global navigation satellite system (GNSS). When an anomaly …"
EUSIPCO,Multi-channel_adaptive_filtering_applied_to_multi-channel_acoustic_echo_cancellation.,"J Benesty, P Duhamel, Y Grenier",1996,17,https://www.eurasip.org/Proceedings/Eusipco/1996/paper/ss_5_9.pdf,3769866471495978749,"Multi-Channel (MC) sound pick-up, transmission and di usion is likely to be implemented in future 
teleconfer- ence systems to provide the users with enhanced quality. However, the echoes in 
such systems are even more im- portant than in classical hand-free communication, so that acoustic …"
EUSIPCO,An_efficient_request_stopping_method_at_the_turbo_decoder_in_distributed_video_coding.,"M Tagliasacchi, J Pedro, F Pereira, S Tubaro",2007,13,https://core.ac.uk/download/pdf/55152495.pdf,11075885084273410158,"Most of the literature on distributed video coding (DVC) is based on a Wyner-Ziv video coding architecture that adopts turbo codes to replace conventional source coding tools. By moving the motion estimation task at the decoder, it achieves light encoding complexity …"
EUSIPCO,Non-intrusive_intelligibility_prediction_using_a_codebook-based_approach.,"C Sorensen, MS Kavalekalam, A Xenaki, JB Boldt…",2017,5,https://www.eurasip.org/Proceedings/Eusipco/Eusipco2017/papers/1570343356.pdf,8868866651732972019,"It could be beneficial for users of hearing aids if these were able to automatically adjust the processing according to the speech intelligibility in the specific acoustic environment. Most speech intelligibility metrics are intrusive, ie, they require a clean reference signal, which is …"
EUSIPCO,A_posteriori_quantized_matching_pursuit,"P Frossard, P Vandergheynst",2001,11,https://infoscience.epfl.ch/record/86803,14433497948150679391,This paper studies quantization error in the context of Matching Pursuit coded streams and proposes a new coefficient quantization scheme taking benefit of the Matching Pursuit properties. The coefficients energy in Matching Pursuit indeed decreases with the iteration …
EUSIPCO,Fast_and_lightweight_person_detector_for_unmanned_aerial_vehicles,"L Steinmann, L Sommer, A Schumann, J Beyerer - 2019 - eurasip.org",2019,1,https://www.eurasip.org/Proceedings/Eusipco/eusipco2019/wp-content/uploads/2019/08/Fast_and_Lightweight_Person_Detector_for_Unmanned_Aerial_Vehicles.pdf,12357112374869069031,"The surge of affordable, small unmanned aerial vehicles (UAVs) opens up many new possibilities for applications, which often rely on locating relevant objects within a scene. Besides accurate object detection, inference time is a key factor for real-world applications …"
EUSIPCO,HOS_based_online_calibration.,"M Aktas, TE Tuncer",2011,5,https://www.eurasip.org/Proceedings/Eusipco/Eusipco2011/papers/1569428007.pdf,8009689901548810761,"Antenna array calibration is an important task. In this paper, an online calibration method is proposed for antenna arrays where the antennas have unknown gain/phase mismatch and mutual coupling. The mutual coupling matrix is unstructured and the array is randomly …"
EUSIPCO,A_New_Vertex_Coding_Scheme_Using_The_Center_of_The_Gravity_of_A_Triangle,SD Kim,2000,10,https://koasas.kaist.ac.kr/handle/10203/133481,9356883321815324530,"In the framework of the research on Brain-Computer Interface systems, the classification of single EEG trials occupies a central place. In this paper we propose a technique of classification consisting on the analysis of EEG from a joint time-frequency and space point …"
EUSIPCO,Time-frequency-space_kernel_for_single_EEG-trial_classification,"G Garcia, T Ebrahimi - 2002 - infoscience.epfl.ch",2002,8,https://infoscience.epfl.ch/record/86896/files/garcia_garynorsig.pdf,5537727269748409714,This report proposes a 2 microphone Voice Activity Detector (VAD) and a Speech Enhancer (ENH) adapted to car conditions. The two modules are derived from the well-known Magnitude Square Coherence (MSC) which expresses a normalized cross-correlation for …
EUSIPCO,A_two-sensor_voice_activity_detection_and_speech_enhancement_based_on_coherence_with_additional_enhancement_of_low_frequencies_using_pitch_information.,A Guerin,2000,9,https://www.researchgate.net/profile/Alexandre_Guerin3/publication/267836111_A_Two-Sensor_Voice_Activity_Detection_and_Speech_Enhancement_based_on_Coherence_with_Additional_Enhancement_of_Low_Fre-_quencies_using_Pitch_Information/links/5697c39e08aea2d74375bf6e.pdf,9608432635712680624,"logo search. EUSIPCO 2020, Date: 2021/01/18 - 2021/01/22, Location: Amsterdam,
The Netherlands. Publication date: 2020-06. Publisher: EUSIPCO. Proceedings
of EUSIPCO. Distributed Adaptive Acoustic Contrast Control for Node-specific Sound …"
EUSIPCO,Distributed_Adaptive_Acoustic_Contrast_Control_for_Node-specific_Sound_Zoning_in_a_Wireless_Acoustic_Sensor_and_Actuator_Network,"M Moonen, R Van Rompaey",2020,6,https://lirias.kuleuven.be/3059906?limo=0,8929574770440958416,"AHSTRACT RF transmissions are often done along multipath channel, due to reflections. A physical model of propagating along such a channel is available, and takes into account few parameters as angles of incidence of waves on the array, group delay for each path …"
EUSIPCO,Passive_identification_of_multipath_channel.,"J Grouffaud, P Larzabal, H Clergeot, A Ferréol",1996,6,https://www.eurasip.org/Proceedings/Eusipco/1996/paper/pap_6.pdf,14332426372960822702,The specific issue addressed in this paper is tailoring specific functionality to allow a group of teachers and students to carry out the learning process in Digital Signal and Image Processing in an electronic virtual environment that is meant to replace the physical class …
